id,possui_banco,qualidade,usar_dataset,observacao
1725,False,boa,True,sem banco
56475,True,boa,True,banco evidente
135178,False,boa,True,sem banco
2172,False,boa,True,sem banco
1737,True,boa,True,banco evidente
70246,True,boa,True,banco evidente
128538,True,boa,True,banco evidente
139610,True,boa,True,banco evidente
10182,True,boa,True,banco evidente
109433,False,boa,True,sem banco
29790,False,boa,True,sem banco
111209,False,boa,True,sem banco
4841,False,boa,True,sem banco
93847,False,boa,True,sem banco
10626,True,boa,True,banco evidente
5318,True,boa,True,banco evidente
40005,True,boa,True,banco evidente
86719,True,boa,True,banco evidente
123654,True,boa,True,banco evidente
32902,False,boa,True,sem banco
12470,True,boa,True,banco evidente
4396,False,boa,True,sem banco
11128,False,boa,True,sem banco
111211,True,boa,True,banco evidente
115655,True,boa,True,banco evidente
10235,True,boa,True,banco evidente
139617,True,boa,True,banco evidente
6211,False,boa,True,sem banco
113882,True,boa,True,banco evidente
41786,False,boa,True,sem banco
10181,True,boa,True,banco evidente
3079,False,boa,True,sem banco
6622,True,boa,True,banco evidente
11127,False,boa,True,sem banco
134260,False,boa,True,sem banco
121439,True,boa,True,banco evidente
13299,True,boa,True,banco evidente
32901,False,boa,True,sem banco
121427,True,boa,True,banco evidente
8400,True,boa,True,banco evidente
136927,False,boa,True,sem banco
81386,True,boa,True,banco evidente
41342,True,boa,True,banco evidente
58691,False,boa,True,sem banco
64030,True,boa,True,banco evidente
11072,False,boa,True,sem banco
12407,True,boa,True,banco evidente
59146,True,boa,True,banco evidente
3977,True,boa,True,banco evidente
38226,True,boa,True,banco evidente
122329,True,boa,True,banco evidente
8401,True,boa,True,banco evidente
70685,False,boa,True,sem banco
7104,True,boa,True,banco evidente
22660,False,boa,True,sem banco
121878,True,boa,True,banco evidente
16868,False,boa,True,sem banco
111660,False,boa,True,sem banco
6623,False,boa,True,sem banco
34228,False,boa,True,sem banco
139611,True,boa,True,banco evidente
13823,False,boa,True,sem banco
18652,False,boa,True,sem banco
87169,False,boa,True,sem banco
2182,False,boa,True,sem banco
79160,False,boa,True,sem banco
87159,False,boa,True,sem banco
85388,False,boa,True,sem banco
128944,True,boa,True,banco evidente
13818,False,boa,True,sem banco
33787,False,boa,True,sem banco
9736,False,boa,True,sem banco
3083,False,boa,True,sem banco
115207,True,boa,True,banco evidente
130264,False,boa,True,sem banco
137372,False,boa,True,sem banco
118325,False,boa,True,sem banco
3525,False,boa,True,sem banco
121884,True,boa,True,banco evidente
108982,True,boa,True,banco evidente
1739,True,boa,True,banco evidente
12854,False,boa,True,sem banco
50244,True,boa,True,banco evidente
2176,True,boa,True,banco evidente
57369,True,boa,True,banco evidente
3081,False,boa,True,sem banco
24886,False,boa,True,sem banco
2631,False,boa,True,sem banco
143183,False,boa,True,sem banco
49801,True,boa,True,banco evidente
141400,False,boa,True,sem banco
2634,False,boa,True,sem banco
12408,True,boa,True,banco evidente
6621,False,boa,True,sem banco
128933,False,boa,True,sem banco
