id,possui_banco,qualidade,usar_dataset,observacao
1725,False,boa,True,sem banco
1726,False,boa,True,sem banco
1727,False,boa,True,sem banco
1728,False,boa,True,sem banco
1729,False,boa,True,sem banco
1730,False,ruim,False,nuvem ou imagem inadequada
1731,False,ruim,False,nuvem ou imagem inadequada
1732,False,boa,True,sem banco
1733,False,boa,True,sem banco
1734,False,boa,True,sem banco
1735,False,ruim,False,nuvem ou imagem inadequada
1736,False,ruim,False,nuvem ou imagem inadequada
1737,True,boa,True,banco evidente
1739,True,boa,True,banco evidente
2171,False,boa,True,sem banco
2172,False,boa,True,sem banco
2173,False,boa,True,sem banco
2175,False,boa,True,sem banco
2176,True,boa,True,banco evidente
2179,False,boa,True,sem banco
2180,False,boa,True,sem banco
2181,False,boa,True,sem banco
2182,False,boa,True,sem banco
2183,False,ruim,False,nuvem ou imagem inadequada
2184,False,ruim,False,nuvem ou imagem inadequada
2185,False,ruim,False,nuvem ou imagem inadequada
2186,False,boa,True,sem banco
2616,False,boa,True,sem banco
2617,False,boa,True,sem banco
2628,False,boa,True,sem banco
2629,False,boa,True,sem banco
2630,False,boa,True,sem banco
2631,False,boa,True,sem banco
2632,False,boa,True,sem banco
2633,False,boa,True,sem banco
2634,False,boa,True,sem banco
3060,False,boa,True,sem banco
3061,False,boa,True,sem banco
3077,False,boa,True,sem banco
3078,False,boa,True,sem banco
3079,False,boa,True,sem banco
3080,False,ruim,False,nuvem ou imagem inadequada
3081,False,boa,True,sem banco
3082,False,boa,True,sem banco
3083,False,boa,True,sem banco
3084,False,boa,True,sem banco
3502,False,boa,True,sem banco
3503,False,boa,True,sem banco
3504,False,boa,True,sem banco
3505,False,ruim,False,nuvem ou imagem inadequada
3506,False,ruim,False,nuvem ou imagem inadequada
3507,False,boa,True,sem banco
3525,False,boa,True,sem banco
3526,False,ruim,False,nuvem ou imagem inadequada
3527,False,ruim,False,nuvem ou imagem inadequada
3528,False,ruim,False,nuvem ou imagem inadequada
3529,False,ruim,False,nuvem ou imagem inadequada
3530,False,revisar,False,parece nuvem
3948,False,ruim,False,nuvem ou imagem inadequada
3949,False,boa,True,sem banco
3950,False,ruim,False,nuvem ou imagem inadequada
3951,False,ruim,False,barco
3975,False,boa,True,sem banco
3976,False,ruim,False,nuvem ou imagem inadequada
3977,True,boa,True,banco evidente
4394,False,ruim,False,nuvem ou imagem inadequada
4395,False,ruim,False,nuvem ou imagem inadequada
4396,False,boa,True,sem banco
4422,False,boa,True,sem banco
4423,False,ruim,False,nuvem ou imagem inadequada
4424,False,ruim,False,nuvem ou imagem inadequada
4839,False,boa,True,sem banco
4840,False,boa,True,sem banco
4841,False,boa,True,sem banco
4870,False,boa,True,sem banco
4871,False,boa,True,sem banco
5285,False,ruim,False,nuvem ou imagem inadequada
5286,False,ruim,False,nuvem ou imagem inadequada
5287,False,boa,True,sem banco
5317,False,boa,True,sem banco
5318,True,boa,True,banco evidente
5319,False,boa,True,sem banco
5730,False,boa,True,sem banco
5731,False,ruim,False,nuvem ou imagem inadequada
5732,False,ruim,False,nuvem ou imagem inadequada
5733,False,boa,True,sem banco
5764,False,boa,True,sem banco
5765,False,ruim,False,nuvem ou imagem inadequada
6175,False,ruim,False,nuvem ou imagem inadequada
6176,False,ruim,False,nuvem ou imagem inadequada
6177,False,ruim,False,nuvem ou imagem inadequada
6211,False,boa,True,sem banco
6621,False,boa,True,sem banco
6622,True,boa,True,banco evidente
6623,False,boa,True,sem banco
6657,False,boa,True,sem banco
7066,False,boa,True,sem banco
7067,False,ruim,False,nuvem ou imagem inadequada
7068,False,ruim,False,nuvem ou imagem inadequada
7103,False,boa,True,sem banco
7104,True,boa,True,banco evidente
7509,False,ruim,False,nuvem ou imagem inadequada
